defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
PLANP:0000593	abnormal germ cell cyst	PLANA:0002043	germ cell cyst
PLANP:0000594	abnormal germline stem cell	PLANA:0002044	germline stem cell
PLANP:0000595	abnormal glycogen granule	PLANA:0002045	glycogen granule
PLANP:0000596	abnormal incision	PLANA:0002046	incision
PLANP:0000597	abnormal pharynx inner epidermal cell	PLANA:0002047	pharynx inner epidermal cell
PLANP:0000598	abnormal inner zone of gland cells	PLANA:0002048	inner zone of gland cells
PLANP:0000599	abnormal intercellular junction	PLANA:0002049	intercellular junction
PLANP:0000600	abnormal linear amputation	PLANA:0002050	linear amputation
PLANP:0000601	abnormal linear incision	PLANA:0002051	linear incision
PLANP:0000602	abnormal lipid droplet	PLANA:0002052	lipid droplet
PLANP:0000603	abnormal lumen	PLANA:0002053	lumen
PLANP:0000604	abnormal marginal adhesive zone	PLANA:0002054	marginal adhesive zone
PLANP:0000605	abnormal mechanosensory neuron	PLANA:0002055	mechanosensory neuron
PLANP:0000606	abnormal medial muscle cell	PLANA:0002056	medial muscle cell
PLANP:0000607	abnormal meiotic germ cell	PLANA:0002057	meiotic germ cell
PLANP:0000608	abnormal melanosome	PLANA:0002058	melanosome
PLANP:0000609	abnormal mucus	PLANA:0002059	mucus
PLANP:0000610	abnormal nephridiopore	PLANA:0002060	nephridiopore
PLANP:0000611	abnormal neurite	PLANA:0002061	neurite
PLANP:0000612	abnormal neuropeptidergic neuron	PLANA:0002062	neuropeptidergic neuron
PLANP:0000613	abnormal non-ciliated epidermis	PLANA:0002063	non-ciliated epidermis
PLANP:0000614	abnormal nuclear envelope	PLANA:0002064	nuclear envelope
PLANP:0000615	abnormal nuclear inner membrane	PLANA:0002065	nuclear inner membrane
PLANP:0000616	abnormal nuclear lumen	PLANA:0002066	nuclear lumen
PLANP:0000617	abnormal nuclear outer membrane	PLANA:0002067	nuclear outer membrane
PLANP:0000618	abnormal nuclear periphery	PLANA:0002068	nuclear periphery
PLANP:0000619	abnormal ommochrome pigment cell	PLANA:0002069	ommochrome pigment cell
PLANP:0000620	abnormal optic nerve	PLANA:0002070	optic nerve
PLANP:0000621	abnormal pharynx outer epidermal cell	PLANA:0002071	pharynx outer epidermal cell
PLANP:0000622	abnormal phagocytic cell	PLANA:0002073	phagocytic cell
PLANP:0000623	abnormal pharynx tip	PLANA:0002074	pharynx tip
PLANP:0000624	abnormal pigment cell	PLANA:0002075	pigment cell
PLANP:0000625	abnormal pigment granule	PLANA:0002076	pigment granule
PLANP:0000626	abnormal plug amputation	PLANA:0002077	plug amputation
PLANP:0000627	abnormal point incision	PLANA:0002078	point incision
PLANP:0000628	abnormal pore	PLANA:0002079	pore
PLANP:0000629	abnormal post-meiotic germ cell	PLANA:0002080	post-meiotic germ cell
PLANP:0000630	abnormal postsynaptic cell	PLANA:0002081	postsynaptic cell
PLANP:0000631	abnormal premeiotic germ cell	PLANA:0002082	premeiotic germ cell
PLANP:0000632	abnormal presynaptic cell	PLANA:0002083	presynaptic cell
PLANP:0000633	abnormal presynaptic terminal	PLANA:0002084	presynaptic terminal
PLANP:0000634	abnormal presynaptic vesicle	PLANA:0002085	presynaptic vesicle
PLANP:0000635	abnormal primary gut branch	PLANA:0002086	primary gut branch
PLANP:0000636	abnormal primitive gut	PLANA:0002087	primitive gut
PLANP:0000637	abnormal quarternary gut branch	PLANA:0002088	quarternary gut branch
PLANP:0000638	abnormal reproductive organ	PLANA:0002089	reproductive organ
PLANP:0000639	abnormal reproductive structure	PLANA:0002090	reproductive structure
PLANP:0000640	abnormal rhabdome	PLANA:0002091	rhabdome
PLANP:0000641	abnormal rhabdomere	PLANA:0002092	rhabdomere
PLANP:0000642	abnormal secretory duct	PLANA:0002093	secretory duct
PLANP:0000643	abnormal secretory granule	PLANA:0002094	secretory granule
PLANP:0000644	abnormal somatic cell	PLANA:0002095	somatic cell
PLANP:0000645	abnormal somatic gonadal cell	PLANA:0002096	somatic gonadal cell
PLANP:0000646	abnormal specialized neoblast	PLANA:0002097	specialized neoblast
PLANP:0000647	abnormal stalk	PLANA:0002098	stalk
PLANP:0000648	abnormal surgical wound	PLANA:0002099	surgical wound
PLANP:0000649	abnormal synapse	PLANA:0002100	synapse
PLANP:0000650	abnormal synaptic cleft	PLANA:0002101	synaptic cleft
PLANP:0000651	abnormal synaptic vesicle	PLANA:0002102	synaptic vesicle
PLANP:0000652	abnormal synaptonemal complex	PLANA:0002103	synaptonemal complex
PLANP:0000653	abnormal tail tip	PLANA:0002104	tail tip
PLANP:0000654	abnormal telomere	PLANA:0002105	telomere
PLANP:0000655	abnormal tight junction	PLANA:0002106	tight junction
PLANP:0000656	abnormal wedge amputation	PLANA:0002107	wedge amputation
PLANP:0000657	abnormal wound	PLANA:0002108	wound
PLANP:0000658	abnormal X1 cell	PLANA:0002109	X1 cell
PLANP:0000659	abnormal X1(FS) cell	PLANA:0002110	X1(FS) cell
PLANP:0000660	abnormal X2 cell	PLANA:0002111	X2 cell
PLANP:0000661	abnormal Xins cell	PLANA:0002112	Xins cell
PLANP:0000662	abnormal post-pharyngeal region	PLANA:0002113	post-pharyngeal region
PLANP:0000663	abnormal post-blastema region	PLANA:0002114	post-blastema region
PLANP:0000664	abnormal fission fragment	PLANA:0002116	fission fragment
PLANP:0000665	abnormal epithelium	PLANA:0002118	epithelium
PLANP:0000666	abnormal gut branch	PLANA:0002119	gut branch
PLANP:0000667	abnormal extraembryonic organ	PLANA:0002120	extraembryonic organ
PLANP:0000668	abnormal chromosome:part	PLANA:0002121	chromosome:part
PLANP:0000669	abnormal perturbation	PLANA:0002122	perturbation
PLANP:0000670	abnormal chromosomal:structural:element	PLANA:0002123	chromosomal:structural:element
PLANP:0000671	abnormal thick fragment	PLANA:0002125	thick fragment
PLANP:0000672	abnormal thin fragment	PLANA:0002126	thin fragment
PLANP:0000673	abnormal fragment	PLANA:0002128	fragment
PLANP:0000674	abnormal longitudinal region	PLANA:0002129	longitudinal region
PLANP:0000675	abnormal chemical wound	PLANA:0002130	chemical wound
PLANP:0000676	abnormal plug wound	PLANA:0002131	plug wound
PLANP:0000677	abnormal wedge wound	PLANA:0002132	wedge wound
PLANP:0000678	abnormal regenerating fragment	PLANA:0002133	regenerating fragment
PLANP:0000679	abnormal sagittal orientation	PLANA:0002134	sagittal orientation
PLANP:0000680	abnormal parasagittal orientation	PLANA:0002135	parasagittal orientation
PLANP:0000681	abnormal syncytium	PLANA:0002136	syncytium
PLANP:0000682	abnormal intracellular granule	PLANA:0002137	intracellular granule
PLANP:0000683	abnormal FACS sorted cell population	PLANA:0002138	FACS sorted cell population
PLANP:0000684	abnormal derived cell population	PLANA:0002139	derived cell population
PLANP:0000685	abnormal pharynx pouch epithelium	PLANA:0002140	pharynx pouch epithelium
PLANP:0000686	abnormal sperm duct epithelial surface	PLANA:0002141	sperm duct epithelial surface
PLANP:0000687	abnormal parenchyma	PLANA:0002142	parenchyma
PLANP:0000688	abnormal testis cell	PLANA:0003100	testis cell
PLANP:0000689	abnormal ventral epidermis cell	PLANA:0003101	ventral epidermis cell
PLANP:0000690	abnormal visual system cell	PLANA:0003102	visual system cell
PLANP:0000691	abnormal eye cell	PLANA:0003103	eye cell
PLANP:0000692	abnormal enteric muscle cell	PLANA:0003104	enteric muscle cell
PLANP:0000693	abnormal dorsal epidermis cell	PLANA:0003105	dorsal epidermis cell
PLANP:0000694	abnormal adhesion gland cell	PLANA:0003106	adhesion gland cell
PLANP:0000695	abnormal body wall muscle cell	PLANA:0003107	body wall muscle cell
PLANP:0000696	abnormal gastrodermal cell	PLANA:0003108	gastrodermal cell
PLANP:0000697	abnormal anterior pole cell	PLANA:0003109	anterior pole cell
PLANP:0000698	abnormal pharynx neuron	PLANA:0003110	pharynx neuron
PLANP:0000699	abnormal pharynx epithelial cell	PLANA:0003111	pharynx epithelial cell
PLANP:0000700	abnormal pharynx muscle cell	PLANA:0003112	pharynx muscle cell
PLANP:0000701	abnormal pharynx pouch epithelial cell	PLANA:0003113	pharynx pouch epithelial cell
PLANP:0000702	abnormal melanin pigment granule	PLANA:0003114	melanin pigment granule
PLANP:0000703	abnormal ommochrome pigment granule	PLANA:0003115	ommochrome pigment granule
PLANP:0000704	abnormal parenchymal cell	PLANA:0003116	parenchymal cell
PLANP:0000705	abnormal G1 phase neoblast	PLANA:0003200	G1 phase neoblast
PLANP:0000706	abnormal S phase neoblast	PLANA:0003201	S phase neoblast
PLANP:0000707	abnormal G2 phase neoblast	PLANA:0003202	G2 phase neoblast
PLANP:0000708	abnormal prophase neoblast	PLANA:0003203	prophase neoblast
PLANP:0000709	abnormal metaphase neoblast	PLANA:0003204	metaphase neoblast
PLANP:0000710	abnormal anaphase neoblast	PLANA:0003205	anaphase neoblast
PLANP:0000711	abnormal telophase neoblast	PLANA:0003206	telophase neoblast
PLANP:0000712	abnormal G1 phase spermatogonial stem cell	PLANA:0003207	G1 phase spermatogonial stem cell
PLANP:0000713	abnormal S phase spermatogonial stem cell	PLANA:0003208	S phase spermatogonial stem cell
PLANP:0000714	abnormal G2 phase spermatogonial stem cell	PLANA:0003209	G2 phase spermatogonial stem cell
PLANP:0000715	abnormal prophase spermatogonial stem cell	PLANA:0003210	prophase spermatogonial stem cell
PLANP:0000716	abnormal metaphase spermatogonial stem cell	PLANA:0003211	metaphase spermatogonial stem cell
PLANP:0000717	abnormal anaphase spermatogonial stem cell	PLANA:0003212	anaphase spermatogonial stem cell
PLANP:0000718	abnormal telophase spermatogonial stem cell	PLANA:0003213	telophase spermatogonial stem cell
PLANP:0000719	abnormal G1 phase oogonial stem cell	PLANA:0003214	G1 phase oogonial stem cell
PLANP:0000720	abnormal S phase oogonial stem cell	PLANA:0003215	S phase oogonial stem cell
PLANP:0000721	abnormal G2 phase oogonial stem cell	PLANA:0003216	G2 phase oogonial stem cell
PLANP:0000722	abnormal prophase oogonial stem cell	PLANA:0003217	prophase oogonial stem cell
PLANP:0000723	abnormal metaphase oogonial stem cell	PLANA:0003218	metaphase oogonial stem cell
PLANP:0000724	abnormal anaphase oogonial stem cell	PLANA:0003219	anaphase oogonial stem cell
PLANP:0000725	abnormal telophase oogonial stem cell	PLANA:0003220	telophase oogonial stem cell
PLANP:0000726	abnormal G1 phase spermatogonium	PLANA:0003221	G1 phase spermatogonium
PLANP:0000727	abnormal S phase spermatogonium	PLANA:0003222	S phase spermatogonium
PLANP:0000728	abnormal G2 phase spermatogonium	PLANA:0003223	G2 phase spermatogonium
PLANP:0000729	abnormal prophase spermatogonium	PLANA:0003224	prophase spermatogonium
PLANP:0000730	abnormal metaphase spermatogonia	PLANA:0003225	metaphase spermatogonia
PLANP:0000731	abnormal anaphase spermatogonia	PLANA:0003226	anaphase spermatogonia
PLANP:0000732	abnormal telophase spermatogonium	PLANA:0003227	telophase spermatogonium
PLANP:0000733	abnormal G1 phase oogonial cell	PLANA:0003228	G1 phase oogonial cell
PLANP:0000734	abnormal S phase oogonial cell	PLANA:0003229	S phase oogonial cell
PLANP:0000735	abnormal G2 phase oogonial cell	PLANA:0003230	G2 phase oogonial cell
PLANP:0000736	abnormal prophase oogonial cell	PLANA:0003231	prophase oogonial cell
PLANP:0000737	abnormal metaphase oogonial cell	PLANA:0003232	metaphase oogonial cell
PLANP:0000738	abnormal anaphase oogonial cell	PLANA:0003233	anaphase oogonial cell
PLANP:0000739	abnormal telophase oogonial cell	PLANA:0003234	telophase oogonial cell
PLANP:0000740	abnormal G1 phase germ cell cyst	PLANA:0003235	G1 phase germ cell cyst
PLANP:0000741	abnormal S phase germ cell cyst	PLANA:0003236	S phase germ cell cyst
PLANP:0000742	abnormal G2 phase germ cell cyst	PLANA:0003237	G2 phase germ cell cyst
PLANP:0000743	abnormal prophase germ cell cyst	PLANA:0003238	prophase germ cell cyst
PLANP:0000744	abnormal metaphase germ cell cyst	PLANA:0003239	metaphase germ cell cyst
PLANP:0000745	abnormal anaphase germ cell cyst	PLANA:0003240	anaphase germ cell cyst
PLANP:0000746	abnormal telophase germ cell cyst	PLANA:0003241	telophase germ cell cyst
PLANP:0000747	abnormal meiotic S phase spermatocyte	PLANA:0003242	meiotic S phase spermatocyte
PLANP:0000748	abnormal meiotic G1 phase spermatocyte	PLANA:0003243	meiotic G1 phase spermatocyte
PLANP:0000749	abnormal meiotic G2 phase spermatocyte	PLANA:0003244	meiotic G2 phase spermatocyte
PLANP:0000750	abnormal meiotic prophase I spermatocyte	PLANA:0003245	meiotic prophase I spermatocyte
PLANP:0000751	abnormal leptotene stage spermatocyte	PLANA:0003246	leptotene stage spermatocyte
PLANP:0000752	abnormal zygotene stage spermatocyte	PLANA:0003247	zygotene stage spermatocyte
PLANP:0000753	abnormal pachytene stage spermatocyte	PLANA:0003248	pachytene stage spermatocyte
PLANP:0000754	abnormal diplotene stage spermatocyte	PLANA:0003249	diplotene stage spermatocyte
PLANP:0000755	abnormal diakinesis stage spermatocyte	PLANA:0003250	diakinesis stage spermatocyte
PLANP:0000756	abnormal meiotic metaphase 1 stage spermatocyte	PLANA:0003251	meiotic metaphase 1 stage spermatocyte
PLANP:0000757	abnormal meiotic anaphase I stage spermatocyte	PLANA:0003252	meiotic anaphase I stage spermatocyte
PLANP:0000758	abnormal meiotic telophase I spermatocyte	PLANA:0003253	meiotic telophase I spermatocyte
PLANP:0000759	abnormal meiosis II stage spermatocyte	PLANA:0003254	meiosis II stage spermatocyte
PLANP:0000760	abnormal meiotic prophase II spermatocyte	PLANA:0003255	meiotic prophase II spermatocyte
PLANP:0000761	abnormal meiotic metaphase 2 spermatocyte	PLANA:0003256	meiotic metaphase 2 spermatocyte
PLANP:0000762	abnormal meiotic anaphase II spermatocyte	PLANA:0003257	meiotic anaphase II spermatocyte
PLANP:0000763	abnormal meiotic telophase II spermatocyte	PLANA:0003258	meiotic telophase II spermatocyte
PLANP:0000764	abnormal cephalic ganglia primordium	PLANA:0003300	cephalic ganglia primordium
PLANP:0000765	abnormal eye primordium	PLANA:0003301	eye primordium
PLANP:0000766	abnormal pharynx primordium	PLANA:0003302	pharynx primordium
PLANP:0000767	abnormal pigment cup primordium	PLANA:0003303	pigment cup primordium
PLANP:0000768	abnormal testis primordium	PLANA:0003304	testis primordium
PLANP:0000769	abnormal gonad primoridium	PLANA:0003305	gonad primoridium
PLANP:0000770	abnormal protonephridial lumen	PLANA:0003400	protonephridial lumen
PLANP:0000771	abnormal testis lumen	PLANA:0003401	testis lumen
PLANP:0000772	abnormal ovary lumen	PLANA:0003402	ovary lumen
PLANP:0000773	abnormal flame cell lumen	PLANA:0003403	flame cell lumen
PLANP:0000774	abnormal cephalic ganglia progenitor cell	PLANA:0003500	cephalic ganglia progenitor cell
PLANP:0000775	abnormal dorsal epidermis progenitor cell	PLANA:0003501	dorsal epidermis progenitor cell
PLANP:0000776	abnormal optic cup progenitor cell	PLANA:0003502	optic cup progenitor cell
PLANP:0000777	abnormal ventral epidermis progenitor cell	PLANA:0003503	ventral epidermis progenitor cell
PLANP:0000778	abnormal head fragment	PLANA:0003600	head fragment
PLANP:0000779	abnormal trunk fragment	PLANA:0003601	trunk fragment
PLANP:0000780	abnormal tail fragment	PLANA:0003602	tail fragment
PLANP:0000781	abnormal prepharyngeal fragment	PLANA:0003603	prepharyngeal fragment
PLANP:0000782	abnormal postpharyngeal fragment	PLANA:0003604	postpharyngeal fragment
PLANP:0000783	abnormal anterior fragment	PLANA:0003605	anterior fragment
PLANP:0000784	abnormal posterior fragment	PLANA:0003606	posterior fragment
PLANP:0000785	abnormal lateral fragment	PLANA:0003607	lateral fragment
PLANP:0000786	abnormal longitudinal fragment	PLANA:0003608	longitudinal fragment
PLANP:0000787	abnormal plug fragment	PLANA:0003609	plug fragment
PLANP:0000788	abnormal wedge fragment	PLANA:0003610	wedge fragment
